Artist,Title,Release Date,Popularity,Category
Maisie Peters,Psycho - Joel Corry Remix,2021-07-16 00:00:00,33,Gold
R3HAB,Smells Like Teen Spirit - R3HAB VIP Remix,2021-01-08 00:00:00,33,Gold
RONDÉ,Hard To Say Goodbye - Acoustic,2021-10-29 00:00:00,33,Gold
Racoon,Took a Hit,2010-11-05 00:00:00,32,Gold
Pat Krimson,When The Lights Go Down - Uit Liefde Voor Muziek,2022-04-04 00:00:00,31,Gold
The Rasmus,In The Shadows - Lost Frequencies Remake 2019,2019-09-20 00:00:00,30,Gold
De Poema's,Niets Kan Mij Nog Stoppen,2003-12-11 00:00:00,29,Gold
Waylon,Als Ik Je Loslaat,2022-10-21 00:00:00,29,Gold
Deborah Parlor,Dreaming Wide Awake,2021-06-11 00:00:00,29,Gold
Lisa Lois,Year Of Summer,2021-06-18 00:00:00,29,Gold
Veldhuis & Kemper,Zeven Kleuren Regen,2022-09-02 00:00:00,27,Gold
Lost Frequencies,Sick of the Silence,2020-08-27 00:00:00,26,Gold
W&W,Ready To Rave (ASOT 1038),2021-10-14 00:00:00,25,Gold
De Poema's,Ik Mis Niets,2003-12-11 00:00:00,25,Gold
Ninetoes,5 Years Of Finder - Carl Cox Remix Edit,2018-06-22 00:00:00,24,Gold
Douwe Bob,Wild Horse,2021-05-28 00:00:00,23,Gold
Rolf Sanchez,Manana,2022-05-27 00:00:00,21,Gold
Thomas Acda,De Marathon,2017-03-03 00:00:00,21,Gold
IOS,18 Voor Altijd,2009-08-28 00:00:00,17,Gold
Above & Beyond,Sun & Moon (Mixed) - Blastoyz Remix,2023-03-24 00:00:00,15,Gold
Clean Bandit,Tears (feat. Louisa Johnson) - Cedric Gervais Remix,2016-07-29 00:00:00,14,Gold
Shakedown,At Night - (Peggy Gou's Acid Journey Remix) [Mixed],2018-07-27 00:00:00,7,Gold
DVBBS,Tsunami - Radio Edit,2013-01-01 00:00:00,4,Gold
Armin van Buuren,Love You More (feat. Racoon) - Extended Vocal Mix,2013-07-23 00:00:00,3,Gold
Alexis Jordan,Acid Rain - Steven Redant Club Mix,2013-04-16 00:00:00,2,Gold
Lily & Madeleine,Come to Me - Ofenbach Remix,2015-12-11 00:00:00,0,Gold
Novastar,Look At You Now,2024-02-16 00:00:00,36,B-List
DJ Licious,That Kinda Love (feat. JIMINI),2023-12-08 00:00:00,35,B-List
Gerard Joling,Twee Motten,2023-12-22 00:00:00,59,A-List
Froukje,Als Ik God Was,2024-01-12 00:00:00,57,A-List
Eliza Rose,Body Moving - Riordan Remix,2024-01-05 00:00:00,57,A-List
Troye Sivan,One Of Your Girls - Sped Up,2023-12-08 00:00:00,55,A-List
VisionV,Breathe,2024-02-16 00:00:00,54,A-List
Douwe Bob,Nothing To Lose,2024-02-14 00:00:00,52,A-List
Adriaan Persons,DOPAMINE,2024-01-26 00:00:00,47,A-List
Scooter,I Keep Hearing Bingo,2024-02-08 00:00:00,45,A-List
Switch Disco,WHAT YOU WANT,2023-12-14 00:00:00,42,A-List
